"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.how-ma.com/mag/","14","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/special/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag","14","不動産売却","5","市況","2","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mag/page/2/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/otoiawase/new","0","","0","","0","Non-Indexable","noindex"
"https://www.how-ma.com/privacy","0","","0","","0","Non-Indexable","noindex"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","22","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","21","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/","15","こんな人におすすめです","11","なぜ高く売却するのに、AIの事前査定がマストなのか？","26","Indexable",""
"https://www.how-ma.com/mag/authors/","9","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","23","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/news/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/market/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/interview/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/sell/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","21","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/sell/sales-negotiation/","18","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/sell/price-change/","16","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","23","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/money/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","21","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/page/3/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/buy/","13","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","21","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","20","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","21","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/sell/souba-kyukyoku/","20","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/content_policy/","8","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","18","不動産売却","5","市況","2","Indexable",""
"https://www.how-ma.com/market_price/stations/5822","13","鷺沼駅の中古マンションの売却相場価格","18","今すぐあなたの不動産を査定する","15","Indexable",""
"https://www.how-ma.com/market_price/stations/7208","12","西鉄平尾駅の中古マンションの売却相場価格","20","今すぐあなたの不動産を査定する","15","Indexable",""
"https://www.how-ma.com/market_price/stations/5821","13","宮前平駅の中古マンションの売却相場価格","19","今すぐあなたの不動産を査定する","15","Indexable",""
"https://www.how-ma.com/market_price/stations/7209","12","高宮駅の中古マンションの売却相場価格","18","今すぐあなたの不動産を査定する","15","Indexable",""
"https://www.how-ma.com/market_price/stations/6003","13","西新宿駅の中古マンションの売却相場価格","19","今すぐあなたの不動産を査定する","15","Indexable",""
"https://www.how-ma.com/market_price/stations/9512","13","中津駅の中古マンションの売却相場価格","18","今すぐあなたの不動産を査定する","15","Indexable",""
